City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
251,Mumford,GH,5.2618,-0.759,83.48,73,69,12.06,broken clouds
252,Avera,US,33.194,-82.5271,81.91,58,43,9.62,scattered clouds
253,Kerema,PG,-7.9631,145.7785,77.4,88,65,5.64,moderate rain
254,Leningradskiy,RU,69.3833,178.4167,0.66,84,76,6.33,broken clouds
255,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,44,3.58,scattered clouds
256,Naron,ES,43.5167,-8.1528,63.03,77,78,8.01,broken clouds
257,Wad Rawah,SD,15.1603,33.1397,101.5,10,38,8.08,scattered clouds
258,Nikolskoye,RU,59.7035,30.7861,46.71,70,53,3.09,broken clouds
259,Toropets,RU,56.4978,31.6353,44.08,59,99,3.74,overcast clouds
260,Zurrieq,MT,35.8311,14.4742,60.96,76,99,15.79,overcast clouds
261,Kaliua,TZ,-5.0606,31.7936,68.45,88,99,4.92,moderate rain
262,Baherden,TM,38.4362,57.4316,66.25,76,93,3.51,overcast clouds
263,Port Hawkesbury,CA,45.6169,-61.3485,41.92,93,100,18.41,mist
264,Tulum,MX,20.2167,-87.4667,84.24,65,7,8.72,clear sky
265,Xixiang,CN,35.1628,112.865,60.48,23,0,5.95,clear sky
266,Cayeli,TR,41.0923,40.7292,55.49,95,100,3.27,light rain
267,Oakley,US,37.9974,-121.7124,69.44,38,0,13.0,clear sky
268,Goba,ET,7.0167,39.9833,52.45,87,100,3.09,overcast clouds
269,Sao Joao Do Piaui,BR,-8.3581,-42.2467,96.91,25,9,7.56,clear sky
270,Pangody,RU,65.85,74.4859,24.55,93,100,6.06,overcast clouds
271,Kavieng,PG,-2.5744,150.7967,81.64,76,8,4.52,clear sky
272,Upernavik,GL,72.7868,-56.1549,13.93,64,92,4.32,overcast clouds
273,Kirakira,SB,-10.4544,161.9205,79.12,84,100,5.73,overcast clouds
274,Loyga,RU,61.0784,44.6075,31.05,85,71,3.76,broken clouds
275,Lompoc,US,34.6391,-120.4579,64.85,63,0,20.71,clear sky
276,Husavik,IS,66.0449,-17.3389,29.41,70,100,13.98,overcast clouds
277,Atasu,KZ,48.6814,71.6433,68.5,33,96,8.25,overcast clouds
278,Boende,CD,-0.2167,20.8667,75.6,84,82,3.27,broken clouds
279,Ahipara,NZ,-35.1667,173.1667,60.04,88,98,6.2,overcast clouds
280,Sur,OM,22.5667,59.5289,85.84,54,0,6.6,clear sky
